Image,Common Name,Scientific Name,Kingdom,Diet,Life Span,Weight,Relative size,IUNC,IUNC Description
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/mammals/g/gray-wolf_thumb.adapt.133.1.JPG,Gray Wolf,Canis lupus,Mammals,Carnivores,6 to 8 years,40 to 175 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/mammals/g/gray-wolf_size.adapt.133.1.gif,Least Concern,At relatively low risk of extinction
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/mammals/a/african-lion_thumb.adapt.133.1.JPG,African Lion,Panthera leo,Mammals,Carnivores,-,265 to 420 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/mammals/a/african-lion_size.adapt.133.1.gif,Vulnerable,At high risk of extinction in the wild
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/mammals/g/giant-panda_thumb.adapt.133.1.JPG,Giant Panda,Ailuropoda melanoleuca,Mammals,Omnivores,20 years,300 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/mammals/g/giant-panda_size.adapt.133.1.gif,Vulnerable,At high risk of extinction in the wild
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/mammals/d/dingo_thumb.adapt.133.1.jpg,Dingo,Canis lupus dingo,Mammals,Carnivores,-,22 to 33 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/mammals/d/dingo_size.adapt.133.1.gif,Vulnerable,At high risk of extinction in the wild
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/mammals/b/bengal-tiger_thumb.adapt.133.1.JPG,Bengal Tiger,Panthera tigris tigris,Mammals,Carnivores,8 to 10 years,240 to 500 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/mammals/b/bengal-tiger_size.adapt.133.1.gif,Endangered,At very high risk of extinction in the wild
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/mammals/s/siberian-tiger_thumb.adapt.133.1.JPG,Siberian Tiger,Panthera tigris altaica,Mammals,Carnivores,-,660 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/mammals/s/siberian-tiger_size.adapt.133.1.gif,Endangered,At very high risk of extinction in the wild
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/birds/p/purple-finch_thumb.adapt.133.1.jpg,Purple Finch,Haemorhous purpureus,Birds,-,-,-,-,Least Concern,At relatively low risk of extinction
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/birds/r/rock-pigeon_thumb.adapt.133.1.JPG,Rock Pigeon,Columba livia,Birds,-,-,-,-,Least Concern,At relatively low risk of extinction
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/birds/t/toco-toucan_thumb.adapt.133.1.jpg,Toco Toucan,Ramphastos toco,Birds,Omnivores,Up to 20 years,20 oz,https://www.nationalgeographic.com/content/dam/animals/graphic/birds/t/toco-toucan_size.adapt.133.1.gif,Least Concern,At relatively low risk of extinction
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/birds/a/arctic-skua_thumb.adapt.133.1.jpg,Arctic Skua (Parasitic Jaeger),Stercorarius parasiticus,Birds,Carnivores,-,12 to 20 oz,https://www.nationalgeographic.com/content/dam/animals/graphic/birds/a/arctic-skua_size.adapt.133.1.gif,Least Concern,At relatively low risk of extinction
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/birds/w/wild-turkey_thumb.adapt.133.1.jpg,Wild Turkey,Meleagris gallopavo,Birds,Omnivores,3 to 4 years,5.5 to 18.8 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/birds/w/wild-turkey_size.adapt.133.1.gif,Least Concern,At relatively low risk of extinction
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/birds/xyz/yellow-throated-vireo_thumb.adapt.133.1.jpg,Yellow-Throated Vireo,Vireo flavifrons,Birds,-,-,-,-,Least Concern,At relatively low risk of extinction
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/reptiles/k/komodo-dragon_thumb.adapt.133.1.JPG,Komodo Dragon,Varanus komodoensis,Reptiles,Carnivores,Up to 30 years,330 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/reptiles/k/komodo-dragon_size.adapt.133.1.gif,Vulnerable,At high risk of extinction in the wild
https://www.nationalgeographic.com/content/dam/animals/thumbs/rights-exempt/reptiles/b/burmese-python_thumb.adapt.133.1.jpg,Burmese Python,Python bivitattus,Reptiles,Carnivores,20 to 25 years,Up to 200 lbs,https://www.nationalgeographic.com/content/dam/animals/graphic/reptiles/b/burmese-python_size.adapt.133.1.gif,Vulnerable,At high risk of extinction in the wild
